perplexity,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
30,10,50,0.19252657648394159,0.10944507361268403,0.4297795593738556,208
30,25,50,0.1945941175754497,0.13778784446961118,0.4630967676639557,187
30,50,50,0.1952543368771355,0.1533106832767082,0.5030941367149353,164
30,100,50,0.19279227566773094,0.18194035485088714,0.6765632033348083,93
30,250,50,0.19676527960377205,0.22142695356738393,0.6870102286338806,50
30,500,50,0.1966480323742713,0.2604907512268781,0.6867202520370483,29
30,1000,50,0.19778414741542558,0.30671196677991697,0.6660167574882507,27
30,10,100,0.19521640198403162,0.12638731596828992,0.46591150760650635,104
30,25,100,0.19463809482375452,0.14722536806342015,0.5257714986801147,99
30,50,100,0.19577822916995094,0.15735749339373348,0.5703964233398438,90
30,100,100,0.19442516073141547,0.18512646281615705,0.6448657512664795,85
30,250,100,0.19737455178633637,0.21244243110607777,,44
30,500,100,0.19664343302204995,0.26345035862589655,0.7601929306983948,26
30,1000,100,0.19744374272492968,0.3099886749716874,0.6753630042076111,24
30,10,250,0.2034940758987172,0.12919592298980748,0.5079967379570007,46
30,25,250,0.19969723107264523,0.16534541336353342,0.5804211497306824,47
30,50,250,0.20219405889673298,0.16531521328803322,0.49291858077049255,45
30,100,250,0.2026373655973901,0.18098905247263117,0.5344938635826111,45
30,250,250,0.19742747293495,0.22234805587013967,0.7213259339332581,39
30,500,250,0.1963247790867304,0.2643865609664024,0.7628081440925598,24
30,1000,250,0.1985986407240624,0.31207248018120043,0.6896716356277466,20
30,10,500,0.2027514812972959,0.14618346545866365,0.55046546459198,31
30,25,500,0.19811906883642444,0.19036617591543978,0.33260971307754517,27
30,50,500,0.20480255581475426,0.16004530011325027,0.4647940397262573,27
30,100,500,0.20648490845749193,0.1718082295205738,0.43705305457115173,26
30,250,500,0.20149346083395347,0.2185428463571159,0.610438346862793,24
30,500,500,0.19715104720055251,0.2595998489996225,0.7046524882316589,23
30,1000,500,0.2006989137777423,0.2851340128350321,0.6594675183296204,17
30,10,1000,0.21731511168479373,0.2633748584371461,0.5237569212913513,15
30,25,1000,0.20090986997799706,0.2792600981502454,0.5901779532432556,16
30,50,1000,0.206221502176045,0.26582106455266136,0.601778507232666,16
30,100,1000,0.2093946348419032,0.21303133257833146,0.5011931657791138,18
30,250,1000,0.20608862878280862,0.22052095130237825,0.43190884590148926,17
30,500,1000,0.20069348525078498,0.25112872782181955,0.5660490393638611,16
30,1000,1000,0.19564704742073696,0.3022876557191393,0.6708148121833801,15
30,10,2500,0.253881622456687,0.22376745941864853,0.21855615079402924,7
30,25,2500,0.24152287191305458,0.1777123442808607,0.14831487834453583,5
30,50,2500,0.23420327507996644,0.26272555681389204,0.2597167193889618,5
30,100,2500,0.23824834922054183,0.28600981502453754,0.33827146887779236,8
30,250,2500,0.23140682227586645,0.39560588901472254,0.9550209641456604,7
30,500,2500,0.2246773419223101,0.3259041147602869,0.7235672473907471,7
30,1000,2500,0.23121493512499838,0.4061004152510381,0.7987808585166931,6
30,10,5000,0.19834369834903126,0.41221593053982636,0.18227972090244293,3
30,25,5000,0.24003267017744803,0.23306908267270668,0.0981774851679802,4
