n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
10,0.0,10,50,0.1046734506565465,0.4318912797281993,-0.30649393796920776,246
10,0.0,25,50,0.10344329592844782,0.5114835787089468,-0.21993565559387207,203
10,0.0,50,50,0.10278487737571847,0.5717629294073235,-0.1650020331144333,166
10,0.0,100,50,0.09011827181175693,0.5997885994714987,-0.029379265382885933,86
10,0.0,250,50,0.06511820547258539,0.7014571536428841,0.46382248401641846,38
10,0.0,500,50,0.07823776188643988,0.7155454888637222,0.42406943440437317,19
10,0.0,1000,50,0.05938958512724607,0.7741336353340883,0.8023020625114441,11
10,0.0,10,100,0.1104997565294141,0.48303510758776896,-0.22919057309627533,116
10,0.0,25,100,0.10616202697892925,0.5463495658739147,-0.10489805787801743,105
10,0.0,50,100,0.10774238450007018,0.5774707436768592,-0.06160052493214607,86
10,0.0,100,100,0.09588017725019264,0.6013590033975085,-0.046628788113594055,71
10,0.0,250,100,0.10407912494482416,0.6540430351075878,0.2880593538284302,31
10,0.0,500,100,0.0786994480313038,0.7175235938089846,0.44077005982398987,17
10,0.0,1000,100,0.05938958512724607,0.7741336353340883,0.8023020029067993,11
10,0.0,10,250,0.06493965305725022,0.591211778029445,0.06623580306768417,43
10,0.0,25,250,0.09470738174827625,0.5898980747451869,0.13310857117176056,38
10,0.0,50,250,0.10215140705821742,0.6217289543223858,0.13575981557369232,34
10,0.0,100,250,0.09698434446587295,0.6300641751604379,0.18439924716949463,32
10,0.0,250,250,0.10771062295821791,0.6518988297470744,0.26230859756469727,29
10,0.0,500,250,0.077618030232765,0.7222801057002642,0.4569346010684967,15
10,0.0,1000,250,0.05921801667552287,0.7759456398640997,0.8167500495910645,10
10,0.0,10,500,0.0828721681719265,0.6307436768591922,0.2101001739501953,18
10,0.0,25,500,0.10298167117636986,0.6306983767459419,0.25863081216812134,19
10,0.0,50,500,0.1290783669091914,0.6281162702906757,0.19980359077453613,17
10,0.0,100,500,0.13908352759607662,0.6435636089090223,0.17610813677310944,16
10,0.0,250,500,0.10124950540109333,0.703042657606644,0.3031739592552185,13
10,0.0,500,500,0.08055135491694529,0.720483201208003,0.43088626861572266,12
10,0.0,1000,500,0.05921801667552287,0.7759456398640997,0.8167499899864197,10
10,0.0,10,1000,0.10274598652378089,0.523352208380521,0.06793525069952011,12
10,0.0,25,1000,0.0031269931773512307,0.028433371083427708,-0.14015890657901764,2
10,0.0,50,1000,0.11754582211726348,0.6534541336353341,0.41602569818496704,11
10,0.0,100,1000,0.12639123133583063,0.6565798414496036,0.386111855506897,11
10,0.0,250,1000,0.09736748618144499,0.7074518686296716,0.39042145013809204,9
10,0.0,500,1000,0.08894459041672696,0.710879577198943,0.522332489490509,10
10,0.0,1000,1000,0.06103701494238076,0.7863646659116648,0.8706836104393005,8
10,0.0,10,2500,0.038229175536428565,0.3329860324650812,0.16750451922416687,2
10,0.0,25,2500,0.03907820786635986,0.34961117402793507,0.2032882273197174,2
10,0.0,50,2500,0.04309042411113821,0.31847489618724045,0.022939374670386314,3
