perplexity,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
30,10,50,0.10830556885754457,0.14666666666666667,0.41115573048591614,196
30,25,50,0.11179169297033441,0.18184975462438657,0.3487286865711212,178
30,50,50,0.11339058066572234,0.20816912042280106,0.5531949400901794,156
30,100,50,0.11368130623958664,0.2566100415251038,0.6789974570274353,96
30,250,50,0.10317466126989011,0.28767081917704795,0.6818974614143372,54
30,500,50,0.0984499027312133,0.3660249150622877,0.7843657732009888,35
30,1000,50,0.08770841780727696,0.38527746319365797,0.6148419976234436,22
30,10,100,0.10660848687744762,0.1906228765571914,0.4204935133457184,108
30,25,100,0.11110982902168211,0.20410721026802567,0.36615613102912903,98
30,50,100,0.11265808221011546,0.23879199697999245,0.6339411735534668,95
30,100,100,0.1124945211086799,0.2515817289543224,0.6256411671638489,82
30,250,100,0.10309061480488921,0.2870517176292941,0.7760973572731018,48
30,500,100,0.1008350191097033,0.33976594941487354,0.7212889194488525,29
30,1000,100,0.0872098941019362,0.3707663269158173,0.6924884915351868,18
30,10,250,0.10239418858617623,0.23232918082295206,0.5190536379814148,49
30,25,250,0.09862949728964135,0.22802567006417515,0.4548575282096863,50
30,50,250,0.10174070426254606,0.2432616081540204,0.5988879203796387,49
30,100,250,0.10357475537312442,0.2661532653831635,0.7025206685066223,47
30,250,250,0.10319690552283851,0.29010192525481315,0.7776083946228027,46
30,500,250,0.09998653964776155,0.3407021517553794,0.7354477643966675,26
30,1000,250,0.0872098941019362,0.3707663269158173,0.692488431930542,18
30,10,500,0.10388463620090711,0.2319365798414496,0.4394194781780243,30
30,25,500,0.09519580097737532,0.2719365798414496,0.4376777112483978,28
30,50,500,0.0991744041136759,0.24755001887504718,0.4907836616039276,28
30,100,500,0.09799107359839303,0.2816308040770102,0.5825204253196716,27
30,250,500,0.09779309566059988,0.304960362400906,0.6273680925369263,26
30,500,500,0.10093893082268826,0.3262514156285391,0.7017443776130676,24
30,1000,500,0.08935193424809208,0.3570403926009815,0.6647212505340576,16
30,10,1000,0.10248737225105928,0.2410872027180068,0.4029015600681305,21
30,25,1000,0.09822458700986039,0.2931974329935825,0.5144410729408264,19
30,50,1000,0.0924020400651519,0.29253303133257835,0.5166845321655273,19
30,100,1000,0.09169761860653769,0.3015175537938845,0.5159783959388733,19
30,250,1000,0.08876827008687795,0.3221593053982635,0.49483737349510193,17
30,500,1000,0.09135790854722915,0.32596451491128725,0.5488895773887634,16
30,1000,1000,0.08872019406567053,0.3656172140430351,0.687362790107727,15
30,10,2500,0.08531497423833749,0.28647791619479046,0.5731836557388306,7
30,25,2500,0.09598639764993858,0.24199320498301247,0.4458675980567932,7
30,50,2500,0.09023487658334345,0.28389580973952433,0.5120935440063477,6
30,100,2500,0.09692102541396533,0.21828614571536428,0.3914402723312378,7
30,250,2500,0.09516248723552137,0.259675349188373,0.3713444173336029,7
30,500,2500,0.09210479577414366,0.33969044922612307,0.7822204828262329,7
30,1000,2500,0.08563736051916057,0.4185126462816157,0.653191328048706,6
30,10,5000,0.07534912370691167,0.34728576821442053,0.4829404652118683,4
30,25,5000,0.09025576475174277,0.3634579086447716,0.8163942098617554,5
30,50,5000,0.09212195455673951,0.34721026802567007,0.7620868682861328,5
30,100,5000,0.07376723421480663,0.2791241978104945,0.7688812613487244,5
30,250,5000,0.09262341468221223,0.34778406946017365,0.7786058783531189,5
30,500,5000,0.07382132294250068,0.32469611174027935,0.8076352477073669,5
30,1000,5000,0.09029786039444695,0.4614571536428841,0.7082457542419434,5
30,10,10000,0.0,1.0,,0
30,25,10000,0.0,1.0,,0
30,50,10000,0.04791959983885331,0.3434050585126463,0.688662052154541,2
30,100,10000,0.04763324485575855,0.3355077387693469,0.6732231974601746,2
30,250,10000,0.04545595326218861,0.341608154020385,0.6691845059394836,2
30,500,10000,0.05156668117684817,0.4925934314835787,0.7457193732261658,2
30,1000,10000,0.0,1.0,,0
30,10,15000,0.0,1.0,,0
30,25,15000,0.0,1.0,,0
30,50,15000,0.04791959983885331,0.3434050585126463,0.6886621713638306,2
30,100,15000,0.04763324485575855,0.3355077387693469,0.6732233166694641,2
30,250,15000,0.04545595326218861,0.341608154020385,0.6691846251487732,2
30,500,15000,0.0,1.0,,0
30,1000,15000,0.0,1.0,,0
30,10,20000,0.0,1.0,,0
30,25,20000,0.0,1.0,,0
30,50,20000,0.0,1.0,,0
30,100,20000,0.04763324485575855,0.3355077387693469,0.6732231974601746,2
30,250,20000,0.04545595326218861,0.341608154020385,0.6691846251487732,2
30,500,20000,0.0,1.0,,0
30,1000,20000,0.0,1.0,,0
30,10,22000,0.0,1.0,,0
30,25,22000,0.0,1.0,,0
30,50,22000,0.0,1.0,,0
30,100,22000,0.0,1.0,,0
30,250,22000,0.0,1.0,,0
30,500,22000,0.0,1.0,,0
30,1000,22000,0.0,1.0,,0
50,10,50,0.033851351576631904,0.21218573046432615,0.04009242728352547,336
50,25,50,0.03846561277202188,0.2676934692336731,0.16147424280643463,315
50,50,50,0.04205705094237944,0.32871272178180444,0.2592303156852722,258
50,100,50,0.045875837444723566,0.43524348810872027,0.41293227672576904,137
50,250,50,0.05416930436807932,0.5487202718006795,0.4707174003124237,60
50,500,50,0.06036832682519042,0.5918006795016988,0.42171511054039,35
50,1000,50,0.03915720313259961,0.5305247263118158,-0.05576254054903984,24
50,10,100,0.03746538244372834,0.28995092487731217,0.08628919720649719,173
50,25,100,0.035345767267086825,0.33034352585881466,0.1660938709974289,157
50,50,100,0.037177671537098306,0.3682748206870517,0.2795783579349518,145
50,100,100,0.04396589576478878,0.44421291053227635,0.4260667562484741,120
50,250,100,0.05392935750419456,0.5458059645149113,0.4505305588245392,53
50,500,100,0.06160042715601071,0.5972970932427331,0.4845349192619324,30
50,1000,100,0.03894916749124203,0.5119516798791997,0.005512196104973555,19
50,10,250,0.03651805047722535,0.3820460551151378,-0.022364763543009758,63
50,25,250,0.03438504183981592,0.45659494148735374,0.22302746772766113,56
50,50,250,0.037518266772238566,0.4673310683276708,0.23861290514469147,56
50,100,250,0.042697163295684,0.5255870139675349,0.35226529836654663,47
50,250,250,0.05756952102204241,0.5637146092865232,0.4572289288043976,41
50,500,250,0.060505299301222726,0.6115062287655719,0.5626208782196045,23
50,1000,250,0.03817624016926555,0.5154699886749717,0.004198380280286074,17
50,10,500,0.041843657267535125,0.46891657229143074,0.08365090191364288,28
50,25,500,0.03529684662316758,0.5364439411098528,0.2869351804256439,21
50,50,500,0.03370270220987537,0.5202114005285013,0.30359238386154175,24
50,100,500,0.04046467807360473,0.5406115515288789,0.32961365580558777,23
50,250,500,0.05253639169428688,0.5700566251415629,0.35152602195739746,20
50,500,500,0.05409040863303611,0.6099509248773122,0.5337806940078735,20
50,1000,500,0.03812856649329439,0.4920649301623254,-0.03123708814382553,12
50,10,1000,0.03693191459771931,0.4575613439033598,0.00344639434479177,11
50,25,1000,0.032560285139612566,0.45204983012457534,-0.02563384547829628,10
50,50,1000,0.029739526119722984,0.47660249150622874,-0.034849613904953,10
50,100,1000,0.03721233491105077,0.4625443563608909,-0.0831264927983284,11
50,250,1000,0.03420296214340323,0.5262665156662891,0.0717463418841362,11
50,500,1000,0.0404236247432519,0.4779010947527369,0.003941765986382961,10
50,1000,1000,0.039344759193595785,0.4888788221970555,0.05108511075377464,10
50,10,2500,0.022776213241378858,0.532306530766327,-0.12271748483181,4
50,25,2500,0.02788344938538586,0.575824839562099,0.024181848391890526,4
50,50,2500,0.030463717886154287,0.5693167232918083,0.09013046324253082,4
50,100,2500,0.03563558391447613,0.5310683276708191,0.08399206399917603,5
50,250,2500,0.03564044018373047,0.30473386183465456,-0.08356793224811554,3
50,500,2500,0.034636976037838545,0.367202718006795,-0.04818005859851837,3
50,1000,2500,0.04506636352829965,0.4219403548508871,-0.14453616738319397,4
50,10,5000,0.017766668298111517,0.6419932049830125,0.1744072139263153,2
50,25,5000,0.033068421609309465,0.2854209135522839,0.06840050220489502,2
50,50,5000,0.0324978838732864,0.27927519818799545,0.07593493908643723,2
50,100,5000,0.03328892955254598,0.2861155152887882,0.07953723520040512,2
50,250,5000,0.04216894004231173,0.34920347300868254,0.08143939822912216,2
50,500,5000,0.038003922972356365,0.412955832389581,0.12139426171779633,2
50,1000,5000,0.040203323684763606,0.5073461683654209,0.10886583477258682,2
50,10,10000,0.0,1.0,,0
50,25,10000,0.0,1.0,,0
50,50,10000,0.0,1.0,,0
50,100,10000,0.0,1.0,,0
50,250,10000,0.0,1.0,,0
50,500,10000,0.0,1.0,,0
50,1000,10000,0.0,1.0,,0
50,10,15000,0.0,1.0,,0
50,25,15000,0.0,1.0,,0
50,50,15000,0.0,1.0,,0
50,100,15000,0.0,1.0,,0
50,250,15000,0.0,1.0,,0
50,500,15000,0.0,1.0,,0
50,1000,15000,0.0,1.0,,0
50,10,20000,0.0,1.0,,0
50,25,20000,0.0,1.0,,0
50,50,20000,0.0,1.0,,0
50,100,20000,0.0,1.0,,0
50,250,20000,0.0,1.0,,0
50,500,20000,0.0,1.0,,0
50,1000,20000,0.0,1.0,,0
50,10,22000,0.0,1.0,,0
50,25,22000,0.0,1.0,,0
50,50,22000,0.0,1.0,,0
50,100,22000,0.0,1.0,,0
50,250,22000,0.0,1.0,,0
50,500,22000,0.0,1.0,,0
50,1000,22000,0.0,1.0,,0
100,10,50,0.0277164652408465,0.27453378633446585,-0.1971440315246582,389
100,25,50,0.050066402870303665,0.42559456398641,-0.024409878998994827,306
100,50,50,0.06508810843226426,0.5233673084182711,0.14218337833881378,230
100,100,50,0.3451932100297072,0.4005587013967535,-0.2279069721698761,111
100,250,50,0.46589022797167506,0.1599848999622499,-0.2968137264251709,37
100,500,50,0.44831544871655954,0.2284333710834277,-0.027307352051138878,18
100,1000,50,0.44349262936703954,0.28075500188750474,0.12921574711799622,13
100,10,100,0.2832750041059323,0.21295583238958096,-0.3305136263370514,156
100,25,100,0.32527885752730085,0.286719516798792,-0.29052653908729553,132
100,50,100,0.3325432590086034,0.35432238580596453,-0.24659952521324158,113
100,100,100,0.34839671069801864,0.4129256323140808,-0.22848837077617645,91
100,250,100,0.46631514013358,0.15805209513023782,-0.27451351284980774,33
100,500,100,0.44831544871655954,0.2284333710834277,-0.027307355776429176,18
100,1000,100,0.4437861506911607,0.28205360513401284,0.1814105212688446,12
100,10,250,0.49890504925502593,0.1393280483201208,-0.4194578230381012,47
100,25,250,0.47443853682493786,0.17220083050207627,-0.4185372292995453,47
100,50,250,0.48330343271375853,0.17170252925632315,-0.43422386050224304,42
100,100,250,0.4839881722738549,0.13810494526236317,-0.306746244430542,35
100,250,250,0.4670754438065965,0.1572668931672329,-0.24812357127666473,31
100,500,250,0.44886749444791096,0.23714609286523217,0.1560196727514267,15
100,1000,250,0.4562020386600972,0.27927519818799545,0.18218916654586792,10
100,10,500,0.5451827902783485,0.1256474141185353,0.04425608739256859,17
100,25,500,0.4865375275957502,0.15842959607399018,0.11821505427360535,17
100,50,500,0.49485851103488143,0.1482068705171763,0.11821650713682175,16
100,100,500,0.4887980111536118,0.1368969422423556,-0.030642595142126083,17
100,250,500,0.47440527720181586,0.1568138920347301,-0.024246275424957275,17
100,500,500,0.44886749444791096,0.23714609286523217,0.1560196727514267,15
100,1000,500,0.4562020386600972,0.27927519818799545,0.18218916654586792,10
100,10,1000,0.5876318313627507,0.13328803322008306,-0.022602248936891556,12
100,25,1000,0.5799657835545232,0.14243865609664025,0.00673183798789978,11
100,50,1000,0.5803389696103081,0.14104945262363155,0.007901798002421856,11
100,100,1000,0.48601783913493807,0.172638731596829,0.1586385816335678,13
