perplexity,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
30,10,50,0.066920211748792,0.1028312570781427,,201
30,25,50,0.06774571215214759,0.1407021517553794,,183
30,50,50,0.06814525169011854,0.17307663269158172,,163
30,100,50,0.07775756268336909,0.20530011325028313,,96
30,250,50,0.07708763097399875,0.2847565118912797,-19985.869140625,56
30,500,50,0.06840627776756145,0.31661759154397884,0.44556736946105957,44
30,1000,50,0.05395378247074003,0.42058135145337866,0.6147399544715881,31
30,10,100,0.06783134823893114,0.1210721026802567,0.18085309863090515,119
30,25,100,0.06838197664359096,0.15291808229520573,0.2367478907108307,106
30,50,100,0.06927157078309602,0.17224613061532654,0.4431152641773224,98
30,100,100,0.07787606231283228,0.2102076255190638,0.488146036863327,86
30,250,100,0.07667328280693667,0.28694601736504344,-20047.22265625,54
30,500,100,0.06822944145301975,0.31910909777274443,0.449097216129303,43
30,1000,100,0.06562284058696406,0.39471498678746697,0.6999976634979248,29
30,10,250,0.0659591227894791,0.18781426953567384,0.26704591512680054,62
30,25,250,0.0689574960484418,0.19738769346923368,0.3091144561767578,57
30,50,250,0.0668331963849028,0.19441298603246507,0.4200499653816223,59
30,100,250,0.07381345556996685,0.2345790864477161,0.46283143758773804,53
30,250,250,0.07663720052921512,0.2880634201585504,0.4924902319908142,45
30,500,250,0.06981776173599924,0.3199395998489996,0.6373342871665955,38
30,1000,250,0.06673143205658265,0.3920573801434504,0.7351725101470947,23
30,10,500,0.06405885491089681,0.2770705926764817,0.36763787269592285,37
30,25,500,0.06825322957831359,0.24747451868629672,0.16447164118289948,39
30,50,500,0.06547989429078273,0.28394110985277465,0.44960319995880127,36
30,100,500,0.07263888306110967,0.2562627406568516,0.4632577896118164,33
30,250,500,0.07856931365782045,0.31537938844847113,0.6543034911155701,29
30,500,500,0.06342191209050685,0.3602869007172518,0.710712730884552,31
30,1000,500,0.06942223651802656,0.3999395998489996,0.6928361654281616,20
30,10,1000,0.060706993069138966,0.3132502831257078,0.1986600160598755,21
30,25,1000,0.0639050233687229,0.34610796526991316,0.3628443777561188,21
30,50,1000,0.06444537921876671,0.3524499811249528,0.32603248953819275,20
30,100,1000,0.0708805020550967,0.3183540958852397,0.5030778646469116,23
30,250,1000,0.08021737795523456,0.349278973197433,0.42697852849960327,19
30,500,1000,0.061693774020110864,0.35183087957719894,0.3272370994091034,19
30,1000,1000,0.0733318198773,0.40075500188750474,0.6113148927688599,18
30,10,2500,0.05350348144877835,0.4318761796904492,0.16398335993289948,9
30,25,2500,0.06649359974477762,0.4829596073990185,0.21365271508693695,8
30,50,2500,0.06118944880004726,0.4807399018497546,0.32028719782829285,9
30,100,2500,0.06330987358731006,0.44646281615704037,0.332780122756958,10
30,250,2500,0.07420201161616904,0.29357493393733486,-0.05902232974767685,10
30,500,2500,0.07574380971419879,0.40640241600604,0.2865091562271118,11
30,1000,2500,0.05510926313374514,0.5276557191392979,0.11599550396203995,8
30,10,5000,0.023558841952965575,0.17076632691581728,0.009041116572916508,2
30,25,5000,0.0,1.0,,0
30,50,5000,0.014728196369749794,0.8071272178180445,0.8746108412742615,2
30,100,5000,0.010974343320559183,0.6539977349943374,0.67734295129776,2
30,250,5000,0.030046379163435267,0.6425368063420158,0.4099421501159668,2
30,500,5000,0.05466050016826937,0.6147527368818422,0.30265530943870544,2
30,1000,5000,0.0,1.0,,0
30,10,10000,0.0,1.0,,0
30,25,10000,0.0,1.0,,0
30,50,10000,0.0,1.0,,0
30,100,10000,0.0,1.0,,0
30,250,10000,0.030046379163435267,0.6425368063420158,0.4099421203136444,2
30,500,10000,0.05466050016826937,0.6147527368818422,0.30265533924102783,2
30,1000,10000,0.0,1.0,,0
30,10,15000,0.0,1.0,,0
30,25,15000,0.0,1.0,,0
30,50,15000,0.0,1.0,,0
30,100,15000,0.0,1.0,,0
30,250,15000,0.0,1.0,,0
30,500,15000,0.0,1.0,,0
30,1000,15000,0.0,1.0,,0
30,10,20000,0.0,1.0,,0
30,25,20000,0.0,1.0,,0
30,50,20000,0.0,1.0,,0
30,100,20000,0.0,1.0,,0
30,250,20000,0.0,1.0,,0
30,500,20000,0.0,1.0,,0
30,1000,20000,0.0,1.0,,0
30,10,22000,0.0,1.0,,0
30,25,22000,0.0,1.0,,0
30,50,22000,0.0,1.0,,0
30,100,22000,0.0,1.0,,0
30,250,22000,0.0,1.0,,0
30,500,22000,0.0,1.0,,0
30,1000,22000,0.0,1.0,,0
50,10,50,0.09728386312070479,0.1484635711589279,,304
50,25,50,0.0970369221780289,0.1870894677236693,0.39449071884155273,279
50,50,50,0.09680012989734428,0.2300490751226878,0.4076479375362396,251
50,100,50,0.09352061046680168,0.3052623631559079,-22.35515785217285,142
50,250,50,0.09266043742090248,0.3452623631559079,0.6049094796180725,59
50,500,50,0.08918362582788249,0.3917704794261986,0.6086815595626831,45
50,1000,50,0.08286132399692077,0.5144129860324651,0.44953757524490356,28
50,10,100,0.09545767020715992,0.18619856549641375,0.32215017080307007,153
50,25,100,0.09594418172980894,0.2219856549641374,0.42425090074539185,146
50,50,100,0.09691234912801623,0.26271045677614197,0.4801264703273773,132
50,100,100,0.09412969124118248,0.3098678746696867,0.58720463514328,123
50,250,100,0.09138717837418689,0.3565118912797282,0.6906203031539917,46
50,500,100,0.08904121171103459,0.3747678369195923,0.6329783201217651,32
50,1000,100,0.09468176082977928,0.49380143450358627,0.6876987218856812,19
50,10,250,0.09601953656797323,0.21929784824462062,0.25264185667037964,59
50,25,250,0.09765236788920216,0.2553265383163458,0.41018757224082947,53
50,50,250,0.10155542744695842,0.29591543978859947,0.4860723614692688,50
50,100,250,0.09374489835298865,0.2899056247640619,0.5352671146392822,49
