n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
2,0.0,1,2,0.08823078439532998,0.013333333333333334,0.7764264941215515,30
2,0.0,2,2,0.14478820617696425,0.06666666666666667,0.7430418729782104,14
2,0.0,3,2,0.2270239047533997,0.14666666666666667,0.8651385307312012,10
2,0.0,4,2,0.15679368901133248,0.21333333333333335,0.4239898920059204,7
2,0.0,5,2,0.15387742656774064,0.22666666666666666,0.3066833019256592,6
2,0.0,6,2,0.1503526136034928,0.3466666666666667,0.2642351984977722,6
2,0.0,7,2,0.11788739659350149,0.4266666666666667,0.7441088557243347,2
2,0.0,8,2,0.12405777929581259,0.4,0.22501534223556519,3
2,0.0,9,2,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,10,2,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,11,2,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,12,2,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,13,2,0.18599395055613527,0.5466666666666666,0.78912353515625,2
2,0.0,14,2,0.10992646592575998,0.64,0.7527916431427002,2
2,0.0,15,2,0.14126254499687693,0.6666666666666666,0.8763424754142761,2
2,0.0,16,2,0.14126254499687693,0.6666666666666666,0.8763424754142761,2
2,0.0,17,2,0.14079214154497424,0.6666666666666666,0.8181977272033691,2
2,0.0,18,2,0.10062238852026013,0.7333333333333333,0.7695435285568237,2
2,0.0,19,2,0.10062238852026013,0.7333333333333333,0.769543468952179,2
2,0.0,20,2,0.0,1.0,,0
2,0.0,21,2,0.0,1.0,,0
2,0.0,22,2,0.0,1.0,,0
2,0.0,23,2,0.0,1.0,,0
2,0.0,24,2,0.0,1.0,,0
2,0.0,25,2,0.0,1.0,,0
2,0.0,1,3,0.15209106262094796,0.05333333333333334,0.7302259206771851,14
2,0.0,2,3,0.22643291880255845,0.02666666666666667,0.6915634274482727,13
2,0.0,3,3,0.2270239047533997,0.14666666666666667,0.8651385307312012,10
2,0.0,4,3,0.15679368901133248,0.21333333333333335,0.4239898920059204,7
2,0.0,5,3,0.15387742656774064,0.22666666666666666,0.3066833019256592,6
2,0.0,6,3,0.14225512176804955,0.37333333333333335,0.6944037675857544,5
2,0.0,7,3,0.11788739659350149,0.4266666666666667,0.7441088557243347,2
2,0.0,8,3,0.11788739659350149,0.4266666666666667,0.7441073656082153,2
2,0.0,9,3,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,10,3,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,11,3,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,12,3,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,13,3,0.18599395055613527,0.5466666666666666,0.78912353515625,2
2,0.0,14,3,0.10992646592575998,0.64,0.7527916431427002,2
2,0.0,15,3,0.14126254499687693,0.6666666666666666,0.8763425350189209,2
2,0.0,16,3,0.14126254499687693,0.6666666666666666,0.8763425350189209,2
2,0.0,17,3,0.14079214154497424,0.6666666666666666,0.8181977272033691,2
2,0.0,18,3,0.0,1.0,,0
2,0.0,19,3,0.0,1.0,,0
2,0.0,20,3,0.0,1.0,,0
2,0.0,21,3,0.0,1.0,,0
2,0.0,22,3,0.0,1.0,,0
2,0.0,23,3,0.0,1.0,,0
2,0.0,24,3,0.0,1.0,,0
2,0.0,25,3,0.0,1.0,,0
2,0.0,1,4,0.2270239047533997,0.14666666666666667,0.8651385307312012,10
2,0.0,2,4,0.2270239047533997,0.14666666666666667,0.8651385307312012,10
2,0.0,3,4,0.2270239047533997,0.14666666666666667,0.8651385307312012,10
2,0.0,4,4,0.15679368901133248,0.21333333333333335,0.4239898920059204,7
2,0.0,5,4,0.15387742656774064,0.22666666666666666,0.3066833019256592,6
2,0.0,6,4,0.14225512176804955,0.37333333333333335,0.6944037675857544,5
2,0.0,7,4,0.11788739659350149,0.4266666666666667,0.7441088557243347,2
2,0.0,8,4,0.11788739659350149,0.4266666666666667,0.7441073656082153,2
2,0.0,9,4,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,10,4,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,11,4,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
2,0.0,12,4,0.11925255779590008,0.4533333333333333,0.7396149635314941,2
