perplexity,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
30,10,50,0.024919848060768,0.2156134390335976,,352
30,25,50,0.025079364593236817,0.27768969422423556,0.40921512246131897,322
30,50,50,0.02556494393316556,0.33956964892412234,0.34412506222724915,253
30,100,50,0.026251529020856628,0.4207323518308796,,135
30,250,50,0.03256366538303893,0.5342695356738392,0.36157241463661194,65
30,500,50,0.033089837878976285,0.5511513778784447,0.5541132688522339,29
30,1000,50,0.03042349208629956,0.5926915817289543,0.46330976486206055,22
30,10,100,0.026280935575657326,0.2847565118912797,,165
30,25,100,0.02660635288730544,0.3059871649679124,0.38181671500205994,150
30,50,100,0.026413475340884496,0.3723669309173273,0.35283714532852173,135
30,100,100,0.026402578621645252,0.4268176670441676,,116
30,250,100,0.033657529618250505,0.5269158172895432,0.3950164020061493,52
30,500,100,0.03303187635573619,0.5352661381653454,0.5090004801750183,25
30,1000,100,0.030169799236421,0.5946545866364666,0.5296040773391724,20
30,10,250,0.03392296690090201,0.3322914307285768,0.06057281419634819,56
30,25,250,0.03371300175077631,0.3685617214043035,0.11581853032112122,51
30,50,250,0.03279511931379773,0.4220913552283881,0.2978615462779999,48
30,100,250,0.032759530133125866,0.42595696489241225,0.30847111344337463,50
30,250,250,0.032860063173622896,0.512480181200453,0.4335266947746277,41
30,500,250,0.03219562561379394,0.533605134012835,0.5602144002914429,20
30,1000,250,0.03546512772789889,0.5901396753491883,0.5496234893798828,16
30,10,500,0.03633714675528734,0.3479652699131748,0.09527062624692917,31
30,25,500,0.03688653602595297,0.3819705549263873,0.20065262913703918,26
30,50,500,0.034442959469774555,0.36487731219328046,0.2973422706127167,24
30,100,500,0.0345748840833592,0.4332502831257078,0.22355826199054718,23
30,250,500,0.033069737213616224,0.47981879954699885,0.49629712104797363,22
30,500,500,0.03219562561379394,0.533605134012835,0.5602144002914429,20
30,1000,500,0.03546512772789889,0.5901396753491883,0.549623429775238,16
30,10,1000,0.03377909773778148,0.3991543978859947,0.1748836785554886,20
30,25,1000,0.034242536005214645,0.4088637221593054,0.19800952076911926,20
30,50,1000,0.030983475283905035,0.3927821819554549,0.29008451104164124,19
30,100,1000,0.03198427664639315,0.44232540581351454,0.3258865475654602,18
30,250,1000,0.026545646902814107,0.5120120800302,0.5147483348846436,16
30,500,1000,0.02524948795293703,0.5902151755379389,0.6768609285354614,14
30,1000,1000,0.03167854387835591,0.6098754246885617,0.5873968005180359,13
30,10,2500,0.025249371263108757,0.5613741034352586,0.4283542335033417,6
30,25,2500,0.028367603630002153,0.4433824084560211,0.24468162655830383,8
30,50,2500,0.022157402442034953,0.5809437523593809,0.6380316019058228,7
30,100,2500,0.02062832296282974,0.604167610419026,0.5331023335456848,6
30,250,2500,0.0222061535133121,0.5916647791619479,0.49526119232177734,7
30,500,2500,0.021756191728200876,0.6219856549641374,0.7067221403121948,7
30,1000,2500,0.014673362423194279,0.7332427331068327,0.9412787556648254,5
30,10,5000,0.03571954962077539,0.41949414873537183,0.24852298200130463,3
30,25,5000,0.026283674142019917,0.4437297093242733,0.2372780740261078,3
30,50,5000,0.0,1.0,,0
30,100,5000,0.052487821506859114,0.544643261608154,0.7556830644607544,2
30,250,5000,0.038670061472228345,0.6258361645904115,0.8019264340400696,2
30,500,5000,0.02991594024593808,0.6899660249150623,0.8191260099411011,2
30,1000,5000,0.0,1.0,,0
30,10,10000,0.0,1.0,,0
30,25,10000,0.0,1.0,,0
30,50,10000,0.0,1.0,,0
30,100,10000,0.052487821506859114,0.544643261608154,0.7556830048561096,2
30,250,10000,0.0,1.0,,0
30,500,10000,0.0,1.0,,0
30,1000,10000,0.0,1.0,,0
30,10,15000,0.0,1.0,,0
30,25,15000,0.0,1.0,,0
30,50,15000,0.0,1.0,,0
30,100,15000,0.0,1.0,,0
30,250,15000,0.0,1.0,,0
30,500,15000,0.0,1.0,,0
30,1000,15000,0.0,1.0,,0
30,10,20000,0.0,1.0,,0
30,25,20000,0.0,1.0,,0
30,50,20000,0.0,1.0,,0
30,100,20000,0.0,1.0,,0
30,250,20000,0.0,1.0,,0
30,500,20000,0.0,1.0,,0
30,1000,20000,0.0,1.0,,0
30,10,22000,0.0,1.0,,0
30,25,22000,0.0,1.0,,0
30,50,22000,0.0,1.0,,0
30,100,22000,0.0,1.0,,0
30,250,22000,0.0,1.0,,0
30,500,22000,0.0,1.0,,0
30,1000,22000,0.0,1.0,,0
50,10,50,0.07807406166753478,0.2620309550773877,0.13559290766716003,273
