n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
10,0.0,10,50,0.0,0.3444030596940306,-0.29123571515083313,644
10,0.0,25,50,0.0,0.4129524547545245,-0.21296095848083496,524
10,0.0,50,50,0.0,0.47580866913308667,-0.09813696146011353,423
10,0.0,100,50,-1.0624564168142133e-16,0.5437768723127687,-0.026714475825428963,222
10,0.0,250,50,0.0,0.628962103789621,0.0928836464881897,90
10,0.0,500,50,0.0,0.7187593740625937,0.3288583755493164,53
10,0.0,1000,50,0.0,0.8067880711928808,0.45073220133781433,27
10,0.0,10,100,-4.365589669549419e-17,0.37793720627937205,-0.23070697486400604,308
10,0.0,25,100,0.0,0.4346127887211279,-0.1227373331785202,279
10,0.0,50,100,0.0,0.47863338666133387,-0.07869528979063034,240
10,0.0,100,100,0.0,0.5415395960403959,-0.03480818122625351,203
10,0.0,250,100,0.0,0.6273935106489351,0.13617119193077087,82
10,0.0,500,100,3.0899287014021534e-16,0.7173595140485951,0.32087305188179016,47
10,0.0,1000,100,0.0,0.8088691130886911,0.5026724934577942,22
10,0.0,10,250,0.0,0.4427682231776822,-0.1341785043478012,123
10,0.0,25,250,0.0,0.5006124387561244,-0.06703066825866699,114
10,0.0,50,250,0.0,0.5035496450354965,-0.05602473020553589,113
10,0.0,100,250,-1.0853588715010092e-16,0.5562506249375062,0.02425898239016533,91
10,0.0,250,250,0.0,0.6283559144085591,0.15638238191604614,73
10,0.0,500,250,0.0,0.7177094790520948,0.33258846402168274,37
10,0.0,1000,250,0.0,0.8102377262273772,0.6024510264396667,15
10,0.0,10,500,1.0373552531359214e-16,0.5247225277472253,-0.06870687007904053,59
10,0.0,25,500,0.0,0.5618563143685631,-0.012909273616969585,56
10,0.0,50,500,0.0,0.56994300569943,0.037151336669921875,58
10,0.0,100,500,0.0,0.6089203579642036,0.05220818147063255,51
10,0.0,250,500,0.0,0.641504599540046,0.18564294278621674,46
10,0.0,500,500,0.0,0.7191655834416558,0.3240898549556732,35
10,0.0,1000,500,0.0,0.8102377262273772,0.6024510264396667,15
10,0.0,10,1000,0.0,0.4757274272572743,-0.27377399802207947,19
10,0.0,25,1000,0.0,0.09824642535746425,-0.6931371688842773,8
10,0.0,50,1000,0.0,0.7031421857814218,0.24290402233600616,24
10,0.0,100,1000,0.0,0.6976364863513649,0.14912842214107513,22
10,0.0,250,1000,3.2902436382344115e-16,0.7368075692430757,0.3383443355560303,19
10,0.0,500,1000,0.0,0.7417133286671332,0.4325581192970276,20
10,0.0,1000,1000,0.0,0.7667670732926707,0.36877694725990295,12
10,0.0,10,2500,0.0,0.554525797420258,0.3110380470752716,5
10,0.0,25,2500,0.0,0.16545845415458454,-0.08286754041910172,2
10,0.0,50,2500,4.3404981909458007e-16,0.1907871712828717,-0.07850085943937302,2
10,0.0,100,2500,0.0,0.410502699730027,-0.031644612550735474,2
10,0.0,250,2500,0.0,0.7906334366563343,0.27421969175338745,4
10,0.0,500,2500,0.0,0.7511123887611239,0.18768170475959778,5
10,0.0,1000,2500,0.0,0.8359851514848515,0.5720917582511902,5
10,0.0,10,5000,2.7397514161055297e-16,0.5996900309969003,0.3686228096485138,3
10,0.0,25,5000,0.0,0.551907309269073,0.21654829382896423,2
10,0.0,50,5000,1.0,1.0,,0
10,0.0,100,5000,0.0,0.826967303269673,0.4444423019886017,2
10,0.0,250,5000,0.0,0.8358539146085392,0.5108405947685242,2
10,0.0,500,5000,-3.9961410610578045e-16,0.7777659734026597,0.5210554599761963,3
10,0.0,1000,5000,0.0,0.7499250074992501,0.4356604516506195,2
10,0.0,10,10000,1.0,1.0,,0
10,0.0,25,10000,1.0,1.0,,0
