perplexity,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
30,10,50,0.0,0.12202529747025298,0.4541175961494446,383
30,25,50,0.0,0.13866738326167383,0.5141076445579529,345
30,50,50,0.0,0.16718328167183283,0.639742910861969,295
30,100,50,0.0,0.20283596640335966,0.6039860844612122,157
30,250,50,0.0,0.23277672232776722,0.6760492324829102,79
30,500,50,0.0,0.25105614438556145,0.6851137280464172,61
30,1000,50,0.0,0.2923707629237076,0.7101847529411316,41
30,10,100,0.0,0.1361113888611139,0.41554883122444153,187
30,25,100,0.0,0.16115263473652636,0.46579834818840027,174
30,50,100,0.0,0.1825067493250675,0.5784898400306702,158
30,100,100,2.000414609345612e-17,0.20295470452954706,0.6443556547164917,139
30,250,100,0.0,0.23548895110488952,0.6783111691474915,72
30,500,100,0.0,0.2492125787421258,0.6791764497756958,55
30,1000,100,0.0,0.2918208179182082,0.7331748604774475,38
30,10,250,0.0,0.16768948105189482,0.5290403962135315,83
30,25,250,0.0,0.183994100589941,0.5598697066307068,89
30,50,250,2.0001584226989168e-17,0.19980501949805018,0.5768550634384155,80
30,100,250,0.0,0.2102039796020398,0.6359691023826599,80
30,250,250,0.0,0.23946980301969803,0.6945890784263611,68
30,500,250,0.0,0.24606289371062895,0.7071264386177063,47
30,1000,250,0.0,0.28662758724127585,0.736029326915741,34
30,10,500,0.0,0.1822880211978802,0.5717736482620239,54
30,25,500,0.0,0.20871662833716628,0.5366896390914917,50
30,50,500,-2.003654560139712e-17,0.19808644135586442,0.5049039125442505,49
30,100,500,0.0,0.19936756324367563,0.6531513929367065,51
30,250,500,0.0,0.2316080891910809,0.657121479511261,48
30,500,500,0.0,0.2505624437556244,0.7154881358146667,45
30,1000,500,0.0,0.27997200279972,0.7678431868553162,27
30,10,1000,2.0253483746226645e-17,0.21101014898510148,0.620439350605011,30
30,25,1000,2.0319029310250585e-17,0.21112888711128888,0.5242190957069397,27
30,50,1000,0.0,0.2144098090190981,0.5744389295578003,29
30,100,1000,0.0,0.22476502349765023,0.6325134634971619,29
30,250,1000,0.0,0.24225077492250774,0.6433369517326355,28
30,500,1000,0.0,0.25664308569143085,0.6943768262863159,27
30,1000,1000,0.0,0.2904022097790221,0.8051902651786804,24
30,10,2500,4.310236264720413e-17,0.3142310768923108,0.7196916341781616,15
30,25,2500,0.0,0.266998300169983,0.7154752612113953,15
30,50,2500,0.0,0.30333216678332164,0.7118557095527649,16
30,100,2500,0.0,0.28456529347065296,0.6969402432441711,17
30,250,2500,0.0,0.2704292070792921,0.6681267023086548,16
30,500,2500,0.0,0.2916708329167083,0.6989924907684326,14
30,1000,2500,0.0,0.330460703929607,0.7300409078598022,12
30,10,5000,0.0,0.37393135686431356,0.7910103797912598,12
30,25,5000,4.374383455426338e-17,0.3233426657334267,0.7821171879768372,11
30,50,5000,0.0,0.37936831316868314,0.791660726070404,11
30,100,5000,0.0,0.37576242375762425,0.7749075293540955,10
30,250,5000,0.0,0.2896835316468353,0.710923969745636,12
30,500,5000,0.0,0.29054594540545947,0.714547872543335,11
30,1000,5000,0.0,0.32895460453954606,0.7651224136352539,11
30,10,10000,0.0,0.6310743925607439,0.5188285708427429,3
30,25,10000,1.0293495242776664e-16,0.4643410658934107,0.5440873503684998,5
30,50,10000,0.0,0.6331241875812419,0.4871785640716553,3
30,100,10000,0.0,0.5640685931406859,0.596049964427948,4
30,250,10000,9.697214921488547e-17,0.38996100389961,0.6452281475067139,5
30,500,10000,0.0,0.4420557944205579,0.8012807965278625,6
30,1000,10000,0.0,0.39773522647735227,0.5202446579933167,6
30,10,15000,3.9804676601944704e-16,0.08352289771022897,0.15274818241596222,2
30,25,15000,0.0,0.09322192780721927,0.1364290863275528,2
30,50,15000,3.9143955936318157e-16,0.09919008099190081,0.1383257508277893,2
30,100,15000,0.0,0.09303444655534447,0.15035729110240936,2
30,250,15000,0.0,0.07547995200479952,0.13079196214675903,2
30,500,15000,0.0,0.07476127387261274,0.13005954027175903,2
30,1000,15000,0.0,0.05128237176282372,0.1412428766489029,2
30,10,20000,3.9804676601944704e-16,0.08352289771022897,0.152748242020607,2
30,25,20000,0.0,0.09322192780721927,0.136429101228714,2
30,50,20000,3.9143955936318157e-16,0.09919008099190081,0.1383257955312729,2
30,100,20000,0.0,0.09303444655534447,0.15035726130008698,2
30,250,20000,0.0,0.07547995200479952,0.13079194724559784,2
30,500,20000,0.0,0.07476127387261274,0.13005949556827545,2
30,1000,20000,0.0,0.05128237176282372,0.1412428468465805,2
30,10,22000,3.9804676601944704e-16,0.08352289771022897,0.1527482271194458,2
30,25,22000,1.0,1.0,,0
30,50,22000,1.0,1.0,,0
30,100,22000,0.0,0.09303444655534447,0.1503572314977646,2
30,250,22000,0.0,0.07547995200479952,0.13079200685024261,2
30,500,22000,0.0,0.07476127387261274,0.13005948066711426,2
30,1000,22000,0.0,0.05128237176282372,0.14124275743961334,2
50,10,50,0.0,0.09679657034296571,,530
50,25,50,0.0,0.12746850314968503,0.45619073510169983,501
50,50,50,0.0,0.15500949905009498,16.961078643798828,441
50,100,50,0.0,0.21458479152084792,-269277.03125,244
50,250,50,0.0,0.2641173382661734,,102
50,500,50,0.0,0.28014698530146986,0.7160703539848328,68
50,1000,50,0.0,0.3683256674332567,0.7286139130592346,40
50,10,100,0.0,0.12934331566843316,0.33405569195747375,277
50,25,100,0.0,0.15462828717128288,0.46171537041664124,247
50,50,100,0.0,0.17287646235376464,0.5029030442237854,238
