n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
10,0.0,10,50,0.0,0.2731976802319768,-0.32878148555755615,555
10,0.0,25,50,0.0,0.3130561943805619,-0.31720423698425293,497
10,0.0,50,50,0.0,0.3451842315768423,-0.26535874605178833,410
10,0.0,100,50,0.0,0.392973202679732,-0.2216241955757141,207
10,0.0,250,50,0.0,0.4951129887011299,-0.06437733769416809,97
10,0.0,500,50,1.1187779660143493e-16,0.5714803519648035,0.17717841267585754,55
10,0.0,1000,50,0.0,0.6452354764523548,0.10179077833890915,26
10,0.0,10,100,0.0,0.26034271572842715,-0.3323851525783539,266
10,0.0,25,100,0.0,0.30985651434856515,-0.321065753698349,268
10,0.0,50,100,0.0,0.3466903309669033,-0.275089830160141,238
10,0.0,100,100,0.0,0.3918983101689831,-0.22496771812438965,185
10,0.0,250,100,0.0,0.5062931206879312,-0.03723214566707611,88
10,0.0,500,100,0.0,0.5656559344065594,0.16575074195861816,51
10,0.0,1000,100,0.0,0.6456041895810419,0.12858663499355316,25
10,0.0,10,250,0.0,0.30716303369663034,-0.2748652398586273,110
10,0.0,25,250,0.0,0.35464578542145786,-0.2392663210630417,113
10,0.0,50,250,0.0,0.3714253574642536,-0.21047645807266235,115
10,0.0,100,250,0.0,0.4022097790220978,-0.15936866402626038,99
10,0.0,250,250,9.868996956635721e-17,0.4864513548645136,-0.08420002460479736,78
10,0.0,500,250,0.0,0.5661246375362464,0.1627480387687683,46
10,0.0,1000,250,0.0,0.6373550144985501,0.10218522697687149,21
10,0.0,10,500,0.0,0.35667058294170584,-0.2152269035577774,57
10,0.0,25,500,0.0,0.4452117288271173,-0.0773320123553276,58
10,0.0,50,500,0.0,0.42035171482851713,-0.12969852983951569,62
10,0.0,100,500,0.0,0.44885511448855114,-0.041687969118356705,57
10,0.0,250,500,0.0,0.5044058094190581,-0.03749963268637657,49
10,0.0,500,500,0.0,0.5634311568843116,0.16291086375713348,44
10,0.0,1000,500,0.0,0.6416233376662334,0.23037129640579224,19
10,0.0,10,1000,0.0,0.4407871712828717,-0.1412844955921173,22
10,0.0,25,1000,0.0,0.49283196680331964,0.11688143014907837,26
10,0.0,50,1000,0.0,0.5040870912908709,0.10189417749643326,27
10,0.0,100,1000,0.0,0.5063868613138686,0.10722099989652634,26
10,0.0,250,1000,1.0566160604204412e-16,0.5295720427957205,0.14516353607177734,25
10,0.0,500,1000,0.0,0.5501887311268873,0.09824343025684357,24
10,0.0,1000,1000,0.0,0.6539721027897211,0.45527157187461853,15
10,0.0,10,2500,-9.785000728769277e-17,0.4469115588441156,0.1705973893404007,12
10,0.0,25,2500,0.0,0.4981251874812519,0.11741309612989426,11
10,0.0,50,2500,0.0,0.575917408259174,0.19477322697639465,12
10,0.0,100,2500,0.0,0.6308994100589941,0.20878885686397552,10
10,0.0,250,2500,0.0,0.7054919508049196,0.5372466444969177,7
10,0.0,500,2500,0.0,0.6578592140785922,0.47163671255111694,8
10,0.0,1000,2500,0.0,0.6441418358164184,0.45537328720092773,9
10,0.0,10,5000,0.0,0.5403397160283971,0.42453134059906006,6
10,0.0,25,5000,0.0,0.5695242975702429,0.4216417074203491,7
10,0.0,50,5000,0.0,0.2383949105089491,-0.4103986918926239,4
10,0.0,100,5000,0.0,0.2987701229877012,-0.2784591317176819,3
10,0.0,250,5000,0.0,0.24927507249275072,-0.24244365096092224,3
10,0.0,500,5000,0.0,0.1396985301469853,-0.13812273740768433,2
10,0.0,1000,5000,0.0,0.2121100389961004,-0.14152394235134125,2
10,0.0,10,10000,-1.0938720964416706e-16,0.40863413658634135,0.1499313861131668,3
10,0.0,25,10000,0.0,0.6044270572942706,0.4428494870662689,3
10,0.0,50,10000,0.0,0.7995075492450755,0.4845365285873413,2
10,0.0,100,10000,1.0,1.0,,0
10,0.0,250,10000,0.0,0.8623012698730127,0.3827510178089142,2
10,0.0,500,10000,0.0,0.7882336766323368,0.5167008638381958,2
10,0.0,1000,10000,0.0,0.7534246575342466,0.5268781185150146,2
10,0.0,10,15000,0.0,0.34525297470252975,0.45694440603256226,2
10,0.0,25,15000,-3.1651703610793883e-16,0.6896185381461853,0.5362343192100525,2
10,0.0,50,15000,1.0,1.0,,0
10,0.0,100,15000,1.0,1.0,,0
10,0.0,250,15000,1.0,1.0,,0
10,0.0,500,15000,1.0,1.0,,0
10,0.0,1000,15000,0.0,0.7534246575342466,0.5268780589103699,2
10,0.0,10,20000,0.0,0.34525297470252975,0.4569444954395294,2
10,0.0,25,20000,1.0,1.0,,0
10,0.0,50,20000,1.0,1.0,,0
10,0.0,100,20000,1.0,1.0,,0
10,0.0,250,20000,1.0,1.0,,0
10,0.0,500,20000,1.0,1.0,,0
10,0.0,1000,20000,1.0,1.0,,0
10,0.0,10,22000,0.0,0.34525297470252975,0.4569445252418518,2
10,0.0,25,22000,1.0,1.0,,0
10,0.0,50,22000,1.0,1.0,,0
10,0.0,100,22000,1.0,1.0,,0
10,0.0,250,22000,1.0,1.0,,0
10,0.0,500,22000,1.0,1.0,,0
10,0.0,1000,22000,1.0,1.0,,0
15,0.0,10,50,0.0,0.14127962203779623,-0.3285753130912781,509
15,0.0,25,50,0.0,0.16675207479252074,,476
15,0.0,50,50,0.0,0.20827917208279173,-0.2834555506706238,413
15,0.0,100,50,0.0,0.25747425257474255,-0.12912485003471375,200
15,0.0,250,50,0.0,0.33440405959404057,-0.04446649178862572,97
15,0.0,500,50,0.0,0.3962541245875412,0.17258568108081818,54
15,0.0,1000,50,0.0,0.4766898310168983,0.3115497827529907,30
15,0.0,10,100,0.0,0.14123587641235877,-0.25458967685699463,245
15,0.0,25,100,0.0,0.1738138686131387,-0.26256391406059265,251
15,0.0,50,100,0.0,0.19594290570942904,-0.2189924269914627,231
15,0.0,100,100,0.0,0.25393085691430856,-0.12895698845386505,187
15,0.0,250,100,4.265355551366642e-17,0.3268110688931107,0.09195391088724136,87
15,0.0,500,100,0.0,0.39647910208979104,0.18521879613399506,49
15,0.0,1000,100,9.911123973871153e-17,0.47723352664733526,0.3709205389022827,29
15,0.0,10,250,0.0,0.1772947705229477,-0.12527893483638763,113
15,0.0,25,250,0.0,0.21501599840015997,-0.0858646109700203,111
15,0.0,50,250,0.0,0.22077792220777923,-0.08745142817497253,110
