n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
10,0.0,10,50,0.07510516030484755,0.4354850887127218,-0.24701642990112305,246
10,0.0,25,50,0.10307742591685617,0.5362174405436013,-0.09369540214538574,203
10,0.0,50,50,0.11463885395076957,0.6040921102302755,0.05122639611363411,159
10,0.0,100,50,0.11130406821337148,0.6673159682899207,0.12489419430494308,83
10,0.0,250,50,0.08124630237338895,0.7496715741789355,0.32031309604644775,35
10,0.0,500,50,0.058365296935764394,0.8098905247263118,0.5046826601028442,20
10,0.0,1000,50,0.03946519076333823,0.8654888637221593,0.7195369005203247,9
10,0.0,10,100,0.09302969306920736,0.30265005662514155,-0.37747982144355774,82
10,0.0,25,100,0.10472338253083537,0.5408531521328803,-0.14261677861213684,98
10,0.0,50,100,0.1179230160982361,0.6144960362400906,0.028864242136478424,81
10,0.0,100,100,0.11662638306462551,0.6718912797281993,0.08369900286197662,69
10,0.0,250,100,0.08374032946764932,0.7504567761419404,0.3634414076805115,29
10,0.0,500,100,0.060550846403057794,0.810086825217063,0.45707282423973083,15
10,0.0,1000,100,0.038899250994696384,0.8681917704794262,0.7262396216392517,7
10,0.0,10,250,0.10607796020598141,0.31778029445073613,-0.2415623962879181,35
10,0.0,25,250,0.09299442522909586,0.374722536806342,-0.17090824246406555,37
10,0.0,50,250,0.10416589298534411,0.5970705926764817,0.005512569099664688,34
10,0.0,100,250,0.11759806307433174,0.6421593053982635,0.04565074294805527,31
10,0.0,250,250,0.08424616214206262,0.7528576821442053,0.4084150791168213,24
10,0.0,500,250,0.060445599929859324,0.8096489241223103,0.49593111872673035,14
10,0.0,1000,250,0.038899250994696384,0.8681917704794262,0.7262395620346069,7
10,0.0,10,500,0.10363352364990935,0.3838882597206493,-0.0800776481628418,15
10,0.0,25,500,0.08493927602220797,0.41677614194035484,-0.07837744802236557,15
10,0.0,50,500,0.07798800589782272,0.6650358625896565,0.11451514810323715,16
10,0.0,100,500,0.09478104276087351,0.6745488863722159,0.13884788751602173,15
10,0.0,250,500,0.08064982105070319,0.7719290298225746,0.4574279189109802,12
10,0.0,500,500,0.06504248213534919,0.8184824462061155,0.5085967183113098,9
10,0.0,1000,500,0.0398491939894805,0.8724650811627029,0.8807345032691956,6
10,0.0,10,1000,0.12621442944677594,0.41432993582483957,-0.08753926306962967,9
10,0.0,25,1000,0.08378405251166844,0.45590033975084937,-0.07902268320322037,9
10,0.0,50,1000,0.06595106977180305,0.7019554548886372,0.2252759486436844,11
10,0.0,100,1000,0.062215907793380786,0.7114684786711967,0.22867000102996826,10
10,0.0,250,1000,0.08246583457812721,0.7193355983389959,0.04519268870353699,8
10,0.0,500,1000,0.055976940203151845,0.8304265760664402,0.5562222003936768,8
10,0.0,1000,1000,0.0398491939894805,0.8724650811627029,0.8807345032691956,6
10,0.0,10,2500,0.0,1.0,,0
10,0.0,25,2500,0.0,1.0,,0
10,0.0,50,2500,0.007547308109262103,0.875681389203473,0.5457220077514648,2
10,0.0,100,2500,0.029967931535257133,0.8018422046055115,0.37243205308914185,2
10,0.0,250,2500,0.0136612256138383,0.46139675349188375,0.05207893252372742,2
10,0.0,500,2500,0.0548908041506921,0.8192827482068705,0.5691757798194885,2
10,0.0,1000,2500,0.0,1.0,,0
10,0.0,10,5000,0.0,1.0,,0
10,0.0,25,5000,0.0,1.0,,0
10,0.0,50,5000,0.0,1.0,,0
10,0.0,100,5000,0.029967931535257133,0.8018422046055115,0.37243205308914185,2
10,0.0,250,5000,0.03867051288578286,0.7527368818422046,0.33597201108932495,2
10,0.0,500,5000,0.0,1.0,,0
10,0.0,1000,5000,0.0,1.0,,0
10,0.0,10,10000,0.0,1.0,,0
10,0.0,25,10000,0.0,1.0,,0
10,0.0,50,10000,0.0,1.0,,0
10,0.0,100,10000,0.0,1.0,,0
10,0.0,250,10000,0.0,1.0,,0
10,0.0,500,10000,0.0,1.0,,0
10,0.0,1000,10000,0.0,1.0,,0
10,0.0,10,15000,0.0,1.0,,0
10,0.0,25,15000,0.0,1.0,,0
10,0.0,50,15000,0.0,1.0,,0
10,0.0,100,15000,0.0,1.0,,0
10,0.0,250,15000,0.0,1.0,,0
10,0.0,500,15000,0.0,1.0,,0
10,0.0,1000,15000,0.0,1.0,,0
10,0.0,10,20000,0.0,1.0,,0
10,0.0,25,20000,0.0,1.0,,0
10,0.0,50,20000,0.0,1.0,,0
10,0.0,100,20000,0.0,1.0,,0
10,0.0,250,20000,0.0,1.0,,0
10,0.0,500,20000,0.0,1.0,,0
10,0.0,1000,20000,0.0,1.0,,0
10,0.0,10,22000,0.0,1.0,,0
10,0.0,25,22000,0.0,1.0,,0
10,0.0,50,22000,0.0,1.0,,0
10,0.0,100,22000,0.0,1.0,,0
10,0.0,250,22000,0.0,1.0,,0
10,0.0,500,22000,0.0,1.0,,0
10,0.0,1000,22000,0.0,1.0,,0
15,0.0,10,50,0.1285722824140729,0.3990637976594941,-0.1508541852235794,244
15,0.0,25,50,0.15853745908554562,0.4750924877312193,-0.06619566679000854,187
15,0.0,50,50,0.16574475546966,0.5259645149112873,0.025410659611225128,156
15,0.0,100,50,0.1820762842994433,0.5791619479048697,0.1859620213508606,78
15,0.0,250,50,0.15731181869050406,0.6623480558701397,0.31175222992897034,36
15,0.0,500,50,0.10744783503573284,0.7280936202340506,0.6683946251869202,17
15,0.0,1000,50,0.08338728898618715,0.7807172517931295,0.8367810249328613,10
15,0.0,10,100,0.13659113659360408,0.47565118912797283,-0.06329867243766785,113
15,0.0,25,100,0.16742800197503974,0.515349188372971,0.041949234902858734,99
15,0.0,50,100,0.1852025246315927,0.5365647414118535,0.103799968957901,78
15,0.0,100,100,0.19031585416771,0.5751755379388448,0.16254286468029022,69
15,0.0,250,100,0.16242831799121302,0.6464175160437902,0.28615251183509827,34
15,0.0,500,100,0.10781907097779281,0.7292261230653077,0.6682016849517822,16
15,0.0,1000,100,0.0838155196937472,0.781759154397886,0.8360580205917358,9
15,0.0,10,250,0.11955002317312616,0.5572517931294828,0.19277331233024597,39
15,0.0,25,250,0.16126661394616176,0.6088788221970555,0.2284272462129593,38
15,0.0,50,250,0.1732639217424114,0.5600755001887505,0.15235643088817596,38
15,0.0,100,250,0.19475013577193528,0.5885088712721782,0.318010538816452,35
15,0.0,250,250,0.18132474006274416,0.6405134012835032,0.39949655532836914,26
15,0.0,500,250,0.12048874243836784,0.7188372970932427,0.6613633036613464,13
15,0.0,1000,250,0.0838155196937472,0.781759154397886,0.8360579609870911,9
15,0.0,10,500,0.09606979049431731,0.5273084182710457,0.3036716878414154,15
15,0.0,25,500,0.14965338582024162,0.6570630426576066,0.5319271087646484,14
15,0.0,50,500,0.15543858923229512,0.582242355605889,0.3694336414337158,17
15,0.0,100,500,0.17891626357175644,0.6373876934692336,0.4125605821609497,16
15,0.0,250,500,0.1666656238891957,0.6833371083427708,0.5594533085823059,14
15,0.0,500,500,0.12555019013827684,0.7302227255568139,0.6506512761116028,11
15,0.0,1000,500,0.0838155196937472,0.781759154397886,0.8360580205917358,9
15,0.0,10,1000,0.155855099861047,0.1221593053982635,-0.15261375904083252,8
15,0.0,25,1000,0.10477579351675181,0.7077689694224235,0.5972579121589661,9
15,0.0,50,1000,0.11733429872139824,0.6390335975839939,0.4591331481933594,12
15,0.0,100,1000,0.15213771981367852,0.6777953944884862,0.4791830778121948,12
15,0.0,250,1000,0.13461939030386458,0.6864175160437901,0.4757998585700989,10
15,0.0,500,1000,0.1133137263146318,0.7420460551151378,0.5417812466621399,9
15,0.0,1000,1000,0.10335640969510827,0.7584748961872405,0.4881777763366699,8
15,0.0,10,2500,0.15280286458783188,0.20169120422801057,0.1004086285829544,2
15,0.0,25,2500,0.028786608623764556,0.10829747074367686,-0.008960693143308163,2
15,0.0,50,2500,0.020199599972800412,0.12224990562476407,-0.011558743193745613,2
15,0.0,100,2500,0.011348631376494962,0.11589278973197432,-0.044052429497241974,2
15,0.0,250,2500,0.022455369202796026,0.2125632314080785,-0.042611777782440186,2
15,0.0,500,2500,0.06281845266232855,0.42138165345413364,-0.03207075223326683,2
15,0.0,1000,2500,0.07653690215393302,0.747029067572669,0.5966918468475342,3
15,0.0,10,5000,0.0,1.0,,0
15,0.0,25,5000,0.0,1.0,,0
15,0.0,50,5000,0.0,1.0,,0
15,0.0,100,5000,0.0,1.0,,0
15,0.0,250,5000,0.0,1.0,,0
15,0.0,500,5000,0.07310632180107979,0.7342091355228388,0.7533587217330933,2
15,0.0,1000,5000,0.13660310813791662,0.6444998112495282,0.27809929847717285,2
15,0.0,10,10000,0.0,1.0,,0
15,0.0,25,10000,0.0,1.0,,0
15,0.0,50,10000,0.0,1.0,,0
15,0.0,100,10000,0.0,1.0,,0
15,0.0,250,10000,0.0,1.0,,0
15,0.0,500,10000,0.0,1.0,,0
15,0.0,1000,10000,0.0,1.0,,0
15,0.0,10,15000,0.0,1.0,,0
15,0.0,25,15000,0.0,1.0,,0
15,0.0,50,15000,0.0,1.0,,0
15,0.0,100,15000,0.0,1.0,,0
15,0.0,250,15000,0.0,1.0,,0
15,0.0,500,15000,0.0,1.0,,0
15,0.0,1000,15000,0.0,1.0,,0
15,0.0,10,20000,0.0,1.0,,0
15,0.0,25,20000,0.0,1.0,,0
15,0.0,50,20000,0.0,1.0,,0
15,0.0,100,20000,0.0,1.0,,0
15,0.0,250,20000,0.0,1.0,,0
15,0.0,500,20000,0.0,1.0,,0
15,0.0,1000,20000,0.0,1.0,,0
15,0.0,10,22000,0.0,1.0,,0
