perplexity,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
30,10,50,0.04031028369386075,0.14391845979614948,,277
30,25,50,0.04282226389674301,0.1795998489996225,,264
30,50,50,0.04447062984390907,0.21374103435258587,,240
30,100,50,0.049959393244149865,0.26879577198943,,143
30,250,50,0.060836570941103195,0.3220536051340128,0.5080844759941101,74
30,500,50,0.06548520177373035,0.379841449603624,0.4453315734863281,47
30,1000,50,0.061097547344739364,0.36140430351075875,0.5046328902244568,29
30,10,100,0.04140898391183802,0.16357870894677237,,158
30,25,100,0.045244201960316255,0.19352208380520952,,147
30,50,100,0.04602415409927189,0.22855417138542847,,139
30,100,100,0.050969499621541355,0.26749716874292184,,124
30,250,100,0.0599411789366179,0.30861457153642885,0.4928942322731018,65
30,500,100,0.0668877840179939,0.36221970554926386,0.4477212131023407,42
30,1000,100,0.05951977512085731,0.3088561721404304,0.4664194881916046,26
30,10,250,0.04814911357361959,0.205919214798037,0.34486183524131775,68
30,25,250,0.050686500310463095,0.2400302000755002,0.3826459050178528,68
30,50,250,0.054119532001382004,0.2590562476406191,0.4258013963699341,65
30,100,250,0.05553562382900383,0.2765722914307286,0.420658141374588,62
30,250,250,0.06365695825838644,0.3197130992827482,0.5476801991462708,55
30,500,250,0.060924798683726814,0.3175688939222348,0.4657343626022339,36
30,1000,250,0.05513574960263521,0.2839864099660249,0.3427700698375702,23
30,10,500,0.048734447420076946,0.20004530011325028,0.1726677268743515,44
30,25,500,0.04071120952916875,0.192963382408456,0.22475910186767578,40
30,50,500,0.046226394711462136,0.21671574178935446,0.1722305417060852,36
30,100,500,0.05433953639094941,0.24717251793129483,0.32226768136024475,36
30,250,500,0.05982696935927295,0.2781577953944885,0.41861873865127563,34
30,500,500,0.06029180947612588,0.3330464326160815,0.4889630675315857,33
30,1000,500,0.04758118571943359,0.29064552661381654,0.4133383333683014,19
30,10,1000,0.05644841162471997,0.15343148357870895,0.04277029260993004,23
30,25,1000,0.0549217427020707,0.15074367685919215,0.2622126340866089,21
30,50,1000,0.051089686531407524,0.19359758399396,0.2679063677787781,20
30,100,1000,0.050481110945340135,0.277765194412986,0.41519808769226074,18
30,250,1000,0.04651417450257168,0.26784446961117403,0.40116849541664124,19
30,500,1000,0.046584201666485844,0.2906304265760664,0.42750853300094604,20
30,1000,1000,0.04758118571943359,0.29064552661381654,0.4133383333683014,19
30,10,2500,0.055459047238138146,0.21215553038882598,0.2588784992694855,10
30,25,2500,0.04454054492842886,0.3198791996979993,0.32434961199760437,10
30,50,2500,0.03672820300406775,0.261442053605134,0.3898124694824219,9
30,100,2500,0.034333638432774954,0.2849075122687807,0.42364054918289185,9
30,250,2500,0.034624981461572855,0.2784446961117403,0.4908722937107086,9
30,500,2500,0.0402838805458623,0.3539297848244621,0.24672403931617737,8
30,1000,2500,0.026668155464132703,0.4923367308418271,0.5025703310966492,6
30,10,5000,0.04372989591407912,0.297757644394111,0.25506648421287537,6
30,25,5000,0.032857197637350864,0.32889392223480557,0.5541388392448425,6
30,50,5000,0.03344640070583698,0.3219932049830125,0.5892771482467651,6
30,100,5000,0.033143071134019375,0.3234881087202718,0.5882295966148376,6
30,250,5000,0.030431783823524135,0.3071498678746697,0.589354395866394,6
30,500,5000,0.02880281987532418,0.3946998867497169,0.5483095049858093,5
30,1000,5000,0.022781145960282006,0.4732653831634579,0.5359123945236206,5
30,10,10000,0.024108007212991053,0.32659871649679123,0.40435728430747986,2
30,25,10000,0.01287340971270452,0.31039637599094,0.5050153732299805,3
30,50,10000,0.04044051453552893,0.18915817289543224,0.725745677947998,3
30,100,10000,0.03329825560299204,0.22240845602114007,0.7503437995910645,3
30,250,10000,0.03097283341570207,0.25784824462061157,0.7389611601829529,3
30,500,10000,0.0329258116468913,0.38080785201963,0.7669739127159119,2
30,1000,10000,0.024288464387541963,0.4372970932427331,0.8483070731163025,2
30,10,15000,0.024108007212991053,0.32659871649679123,0.40435728430747986,2
30,25,15000,0.0,1.0,,0
30,50,15000,0.03256229457063546,0.3842808607021518,0.8146984577178955,2
30,100,15000,0.02942665593186149,0.4152661381653454,0.8446938395500183,2
30,250,15000,0.03179911036559525,0.4520347300868252,0.84174644947052,2
30,500,15000,0.0329258116468913,0.38080785201963,0.7669737339019775,2
30,1000,15000,0.024288464387541963,0.4372970932427331,0.8483070731163025,2
30,10,20000,0.024108007212991053,0.32659871649679123,0.4043572247028351,2
30,25,20000,0.0,1.0,,0
30,50,20000,0.0,1.0,,0
30,100,20000,0.0,1.0,,0
30,250,20000,0.0,1.0,,0
30,500,20000,0.0,1.0,,0
30,1000,20000,0.0,1.0,,0
30,10,22000,0.0,1.0,,0
30,25,22000,0.0,1.0,,0
30,50,22000,0.0,1.0,,0
30,100,22000,0.0,1.0,,0
30,250,22000,0.0,1.0,,0
30,500,22000,0.0,1.0,,0
30,1000,22000,0.0,1.0,,0
50,10,50,0.05560487210639269,0.2592676481691204,-0.05656479299068451,279
50,25,50,0.0677998424336599,0.3039184597961495,0.08715759962797165,239
50,50,50,0.08527750199789297,0.37245753114382785,,185
50,100,50,0.09931894999003156,0.4359229898074745,,106
50,250,50,0.10504037862343168,0.5106681766704417,0.4884856641292572,47
50,500,50,0.07054325406640914,0.5807776519441299,0.39816370606422424,30
50,1000,50,0.07680976382254139,0.5935371838429596,0.41315725445747375,20
50,10,100,0.06435706997255372,0.3229445073612684,0.06204043701291084,130
50,25,100,0.07457069291913195,0.3634579086447716,0.2553554177284241,117
50,50,100,0.08601074044128847,0.3873914684786712,,108
50,100,100,0.09907831165209717,0.437916194790487,,94
50,250,100,0.10243107977607509,0.5171460928652322,0.5148948431015015,39
50,500,100,0.07871587726573429,0.5747074367685919,0.4973503053188324,23
50,1000,100,0.07592118770771455,0.5948659871649679,0.41620901226997375,19
50,10,250,0.06578120884209934,0.4113099282748207,0.18357305228710175,58
50,25,250,0.08037920255523452,0.44253680634201586,0.27509552240371704,51
50,50,250,0.09195443413994704,0.4599320498301246,0.22394953668117523,46
50,100,250,0.10234675711280254,0.4896338240845602,0.2822725176811218,42
50,250,250,0.10243107977607509,0.5171460928652322,0.5148802995681763,39
50,500,250,0.07875186316855523,0.5722159305398263,0.5435915589332581,19
50,1000,250,0.07960939789996375,0.5819252548131371,0.42956817150115967,16
50,10,500,0.07184981631371519,0.5296489241223103,0.3376072645187378,24
50,25,500,0.08712978829397963,0.523050207625519,0.37272050976753235,23
50,50,500,0.08682409874179833,0.5251793129482824,0.19392180442810059,21
50,100,500,0.10126929401050817,0.5403246508116271,0.3152543604373932,21
50,250,500,0.10320541498423204,0.5334994337485843,0.34715530276298523,21
50,500,500,0.07905246272563954,0.5727595318988298,0.5435141921043396,19
50,1000,500,0.07959603671501427,0.5820007550018875,0.42978131771087646,16
50,10,1000,0.052302282399562146,0.5517251793129483,0.15979577600955963,12
50,25,1000,0.07259662406238959,0.5681842204605512,0.5840548872947693,14
50,50,1000,0.0682055128605782,0.5656323140807852,0.4234512746334076,13
50,100,1000,0.07790019870328677,0.5689996224990562,0.5686522722244263,13
50,250,1000,0.08412295612286447,0.5474065685164213,0.4971621334552765,13
50,500,1000,0.07822462450025304,0.5801283503208758,0.6573037505149841,13
50,1000,1000,0.07780923011140975,0.5802038505096263,0.6330175995826721,13
50,10,2500,0.04494096589875929,0.5398112495281239,-0.0508078970015049,3
50,25,2500,0.0476135544716008,0.42939977349943376,-0.19228467345237732,5
50,50,2500,0.03030000521080271,0.442400906002265,-0.2474076747894287,4
50,100,2500,0.031980895758052186,0.45994714986787466,-0.24499571323394775,4
50,250,2500,0.02580976289060119,0.6394563986409966,0.002833067672327161,5
50,500,2500,0.05230214644629958,0.5103510758776897,-0.2282886505126953,4
50,1000,2500,0.03737968003480591,0.6914307285768214,0.24429132044315338,5
50,10,5000,0.0,1.0,,0
50,25,5000,0.0,1.0,,0
50,50,5000,0.026043461476129792,0.5353114382785957,0.1926872283220291,2
50,100,5000,0.0,1.0,,0
50,250,5000,0.0,1.0,,0
50,500,5000,0.0,1.0,,0
50,1000,5000,0.0,1.0,,0
50,10,10000,0.0,1.0,,0
50,25,10000,0.0,1.0,,0
50,50,10000,0.0,1.0,,0
50,100,10000,0.0,1.0,,0
50,250,10000,0.0,1.0,,0
50,500,10000,0.0,1.0,,0
50,1000,10000,0.0,1.0,,0
50,10,15000,0.0,1.0,,0
50,25,15000,0.0,1.0,,0
50,50,15000,0.0,1.0,,0
50,100,15000,0.0,1.0,,0
50,250,15000,0.0,1.0,,0
50,500,15000,0.0,1.0,,0
50,1000,15000,0.0,1.0,,0
50,10,20000,0.0,1.0,,0
50,25,20000,0.0,1.0,,0
50,50,20000,0.0,1.0,,0
50,100,20000,0.0,1.0,,0
50,250,20000,0.0,1.0,,0
50,500,20000,0.0,1.0,,0
50,1000,20000,0.0,1.0,,0
50,10,22000,0.0,1.0,,0
50,25,22000,0.0,1.0,,0
50,50,22000,0.0,1.0,,0
50,100,22000,0.0,1.0,,0
50,250,22000,0.0,1.0,,0
50,500,22000,0.0,1.0,,0
50,1000,22000,0.0,1.0,,0
100,10,50,0.016472378599099783,0.27394488486221213,-0.15993426740169525,329
100,25,50,0.02151516759528888,0.3085390713476784,-5298.5595703125,277
100,50,50,0.018820653173393435,0.3751000377500944,-0.05565248802304268,241
100,100,50,0.019332782865458052,0.44333710834277085,0.040850959718227386,151
100,250,50,0.03602979390098202,0.5612382030955078,0.14920078217983246,65
100,500,50,0.12244042400963952,0.5119667799169498,0.2668609321117401,21
100,1000,50,0.19065265856956773,0.48303510758776896,0.6469627022743225,12
100,10,100,0.02223175714400068,0.30808607021517553,-0.12142864614725113,171
100,25,100,0.01960665682015861,0.32987542468856174,-0.08703804761171341,153
