n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
10,0.0,10,50,0.07614270548250432,0.4394714986787467,-0.28809991478919983,246
10,0.0,25,50,0.10410964512571613,0.5322008305020762,-0.11680987477302551,200
10,0.0,50,50,0.10625806492952171,0.6078973197432994,0.03195154666900635,156
10,0.0,100,50,0.10723795341350949,0.6461004152510381,0.16107973456382751,71
10,0.0,250,50,0.09749040816373647,0.7593053982634956,0.4985795319080353,32
10,0.0,500,50,0.054491270523568974,0.8302151755379389,0.7011865377426147,19
10,0.0,1000,50,0.04629220867131987,0.8435183087957719,0.6853497624397278,11
10,0.0,10,100,0.06988101101622088,0.39018497546243863,-0.3307129144668579,98
10,0.0,25,100,0.08908836723806735,0.512812382030955,-0.14922811090946198,94
10,0.0,50,100,0.11421355695483872,0.6006191015477539,0.057523537427186966,86
10,0.0,100,100,0.11282848023005282,0.6580143450358625,0.21252544224262238,65
10,0.0,250,100,0.10464329365248852,0.7507134767836919,0.48611828684806824,29
10,0.0,500,100,0.059623832546079815,0.8279199697999245,0.69084233045578,13
10,0.0,1000,100,0.04677642857176393,0.847036617591544,0.7380377054214478,8
10,0.0,10,250,0.09142046193101454,0.3161796904492261,-0.4022713899612427,35
10,0.0,25,250,0.09301654196748962,0.5164363910909777,-0.143681600689888,34
10,0.0,50,250,0.10606983783638185,0.5963910909777275,0.02075810730457306,39
10,0.0,100,250,0.10433311886647108,0.6659418648546621,0.24845771491527557,34
10,0.0,250,250,0.10736482969245748,0.7500037750094375,0.4522083103656769,25
10,0.0,500,250,0.06223234154657948,0.8186938467346169,0.4599321782588959,11
10,0.0,1000,250,0.04677642857176393,0.847036617591544,0.7380377650260925,8
10,0.0,10,500,0.08883008406402479,0.3942317855794639,-0.41992685198783875,15
10,0.0,25,500,0.05622843993891843,0.6016459041147603,-0.04676153510808945,16
10,0.0,50,500,0.0669234745361422,0.6827935069837675,0.17259639501571655,16
10,0.0,100,500,0.09957703622290164,0.6862514156285391,0.22688353061676025,16
10,0.0,250,500,0.11312227206714857,0.7419554548886372,0.3921476900577545,13
10,0.0,500,500,0.09145274175812938,0.783676859192148,0.2048140913248062,8
10,0.0,1000,500,0.047995388166231834,0.852004530011325,0.7667750120162964,7
10,0.0,10,1000,0.10911943908599252,0.40063420158550395,-0.332192987203598,9
10,0.0,25,1000,0.05129411915124774,0.6389278973197433,0.1216849610209465,9
10,0.0,50,1000,0.05110834836282463,0.7038429596073991,0.11262591928243637,8
10,0.0,100,1000,0.08995852583405381,0.7147451868629672,0.20366349816322327,10
10,0.0,250,1000,0.09177161587098165,0.7890222725556814,0.46320176124572754,9
10,0.0,500,1000,0.0907054855243512,0.7840845602114005,0.1370883285999298,6
10,0.0,1000,1000,0.047995388166231834,0.852004530011325,0.7667750120162964,7
10,0.0,10,2500,0.0,1.0,,0
10,0.0,25,2500,0.04626554731401441,0.5086296715741789,0.18682722747325897,2
10,0.0,50,2500,0.006999184173712092,0.8373876934692337,0.47830837965011597,2
10,0.0,100,2500,0.009670612550938545,0.29469233673084183,0.06304167211055756,2
10,0.0,250,2500,0.06302265644380278,0.8372517931294828,0.18967176973819733,2
10,0.0,500,2500,0.093430303779833,0.7981124952812382,0.10911571234464645,2
10,0.0,1000,2500,0.045249524871774534,0.8619705549263873,0.20989519357681274,2
10,0.0,10,5000,0.0,1.0,,0
10,0.0,25,5000,0.0,1.0,,0
10,0.0,50,5000,0.0,1.0,,0
10,0.0,100,5000,0.0,1.0,,0
10,0.0,250,5000,0.0,1.0,,0
10,0.0,500,5000,0.0,1.0,,0
10,0.0,1000,5000,0.0,1.0,,0
10,0.0,10,10000,0.0,1.0,,0
10,0.0,25,10000,0.0,1.0,,0
10,0.0,50,10000,0.0,1.0,,0
10,0.0,100,10000,0.0,1.0,,0
10,0.0,250,10000,0.0,1.0,,0
10,0.0,500,10000,0.0,1.0,,0
10,0.0,1000,10000,0.0,1.0,,0
10,0.0,10,15000,0.0,1.0,,0
10,0.0,25,15000,0.0,1.0,,0
10,0.0,50,15000,0.0,1.0,,0
10,0.0,100,15000,0.0,1.0,,0
10,0.0,250,15000,0.0,1.0,,0
10,0.0,500,15000,0.0,1.0,,0
10,0.0,1000,15000,0.0,1.0,,0
10,0.0,10,20000,0.0,1.0,,0
10,0.0,25,20000,0.0,1.0,,0
10,0.0,50,20000,0.0,1.0,,0
10,0.0,100,20000,0.0,1.0,,0
10,0.0,250,20000,0.0,1.0,,0
10,0.0,500,20000,0.0,1.0,,0
10,0.0,1000,20000,0.0,1.0,,0
10,0.0,10,22000,0.0,1.0,,0
10,0.0,25,22000,0.0,1.0,,0
10,0.0,50,22000,0.0,1.0,,0
10,0.0,100,22000,0.0,1.0,,0
10,0.0,250,22000,0.0,1.0,,0
10,0.0,500,22000,0.0,1.0,,0
10,0.0,1000,22000,0.0,1.0,,0
15,0.0,10,50,0.07414499008367552,0.45300113250283125,-0.132226824760437,248
15,0.0,25,50,0.11788014623355171,0.5371687429218573,-0.011385902762413025,188
15,0.0,50,50,0.11804832296797806,0.6073839184597961,0.14576709270477295,148
15,0.0,100,50,0.12158674900155048,0.6687655719139298,0.3127457797527313,73
15,0.0,250,50,0.0993695588908095,0.7350094375235938,0.47444382309913635,33
15,0.0,500,50,0.055499137378273854,0.7783616459041147,0.44946014881134033,17
15,0.0,1000,50,0.06011473622247436,0.8181351453378634,0.56633061170578,12
15,0.0,10,100,0.07730977380480883,0.39175537938844845,-0.25065258145332336,91
15,0.0,25,100,0.1169500799354019,0.5756436391090978,0.08511682599782944,101
15,0.0,50,100,0.1271917969420624,0.605919214798037,0.14350594580173492,81
15,0.0,100,100,0.136002220377712,0.6590562476406191,0.2746395170688629,65
15,0.0,250,100,0.09309717935446803,0.713280483201208,0.41715720295906067,27
15,0.0,500,100,0.06555062179062146,0.7674443186107965,0.4684654772281647,15
15,0.0,1000,100,0.06066937910055497,0.820475651189128,0.5622184872627258,10
15,0.0,10,250,0.15280272950134768,0.11986409966024915,-0.1690724939107895,28
15,0.0,25,250,0.11346296757282119,0.19820309550773876,-0.1628170609474182,25
15,0.0,50,250,0.09135006478274757,0.517448093620234,-0.0032192233484238386,30
15,0.0,100,250,0.05976368669231591,0.3717478293695734,-0.1373213678598404,23
15,0.0,250,250,0.09829528064429015,0.7127519818799547,0.39276692271232605,25
15,0.0,500,250,0.07207104166091051,0.7651038127595319,0.5791606307029724,12
15,0.0,1000,250,0.05954455048242114,0.8210645526613817,0.46315112709999084,8
15,0.0,10,500,0.14432015618361013,0.15101547753869385,-0.11780062317848206,14
15,0.0,25,500,0.11546719022925774,0.20302000755001887,-0.10655312985181808,13
15,0.0,50,500,0.06527778179206266,0.1733635334088335,-0.16133366525173187,10
15,0.0,100,500,0.04744996482161138,0.3869082672706682,-0.10279478132724762,12
15,0.0,250,500,0.11214821704528136,0.7108493771234428,0.30172550678253174,15
15,0.0,500,500,0.07207104166091051,0.7651038127595319,0.5791605710983276,12
15,0.0,1000,500,0.05954455048242114,0.8210645526613817,0.46315115690231323,8
15,0.0,10,1000,0.11013968844286208,0.13682144205360514,-0.09882001578807831,7
15,0.0,25,1000,0.11612832607744433,0.2318912797281993,-0.0470227375626564,9
15,0.0,50,1000,0.06398625615336671,0.193280483201208,-0.11344198137521744,8
15,0.0,100,1000,0.0432290461166939,0.40608531521328806,-0.037145622074604034,9
15,0.0,250,1000,0.11636060270680182,0.7570403926009815,0.25026118755340576,10
15,0.0,500,1000,0.06628814590754616,0.7740581351453378,0.39093342423439026,10
15,0.0,1000,1000,0.05954455048242114,0.8210645526613817,0.46315112709999084,8
15,0.0,10,2500,0.0,1.0,,0
15,0.0,25,2500,0.0,1.0,,0
15,0.0,50,2500,0.0,1.0,,0
15,0.0,100,2500,0.008109538183647283,0.8553416383540959,0.26897993683815,2
15,0.0,250,2500,0.0,1.0,,0
15,0.0,500,2500,0.0,1.0,,0
15,0.0,1000,2500,0.0,1.0,,0
15,0.0,10,5000,0.0,1.0,,0
15,0.0,25,5000,0.0,1.0,,0
15,0.0,50,5000,0.0,1.0,,0
15,0.0,100,5000,0.0,1.0,,0
15,0.0,250,5000,0.0,1.0,,0
15,0.0,500,5000,0.0,1.0,,0
15,0.0,1000,5000,0.0,1.0,,0
15,0.0,10,10000,0.0,1.0,,0
15,0.0,25,10000,0.0,1.0,,0
15,0.0,50,10000,0.0,1.0,,0
15,0.0,100,10000,0.0,1.0,,0
15,0.0,250,10000,0.0,1.0,,0
15,0.0,500,10000,0.0,1.0,,0
15,0.0,1000,10000,0.0,1.0,,0
15,0.0,10,15000,0.0,1.0,,0
15,0.0,25,15000,0.0,1.0,,0
15,0.0,50,15000,0.0,1.0,,0
15,0.0,100,15000,0.0,1.0,,0
15,0.0,250,15000,0.0,1.0,,0
15,0.0,500,15000,0.0,1.0,,0
15,0.0,1000,15000,0.0,1.0,,0
15,0.0,10,20000,0.0,1.0,,0
15,0.0,25,20000,0.0,1.0,,0
15,0.0,50,20000,0.0,1.0,,0
15,0.0,100,20000,0.0,1.0,,0
15,0.0,250,20000,0.0,1.0,,0
15,0.0,500,20000,0.0,1.0,,0
15,0.0,1000,20000,0.0,1.0,,0
15,0.0,10,22000,0.0,1.0,,0
15,0.0,25,22000,0.0,1.0,,0
15,0.0,50,22000,0.0,1.0,,0
15,0.0,100,22000,0.0,1.0,,0
15,0.0,250,22000,0.0,1.0,,0
15,0.0,500,22000,0.0,1.0,,0
15,0.0,1000,22000,0.0,1.0,,0
30,0.0,10,50,0.3412805884281744,0.25845224613061535,-0.20970019698143005,203
30,0.0,25,50,0.39625333485389036,0.29591543978859947,-0.07814475148916245,176
30,0.0,50,50,0.4190319274064724,0.3250887127217818,-0.05598628148436546,135
30,0.0,100,50,0.4134155677901788,0.36326160815402037,-0.021077580749988556,74
30,0.0,250,50,0.40382636793336724,0.42609286523216305,0.5579091310501099,31
30,0.0,500,50,0.39300504876993697,0.4647640619101548,0.5947256088256836,16
30,0.0,1000,50,0.34856521486505204,0.5245300113250283,0.633958637714386,11
30,0.0,10,100,0.344314026836269,0.24249150622876559,-0.023981163278222084,91
30,0.0,25,100,0.39316219349203896,0.31963759909399775,0.024222537875175476,89
30,0.0,50,100,0.4307120980506906,0.31740279350698375,-0.0462774895131588,78
30,0.0,100,100,0.42467406596900714,0.36146470366175915,0.029206860810518265,65
30,0.0,250,100,0.40382636793336724,0.42609286523216305,0.5579091906547546,31
