n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
10,0.0,10,50,0.0688952174158898,0.4410117025292563,-0.21930965781211853,244
10,0.0,25,50,0.10239461026573225,0.5421819554548887,-0.027652790769934654,202
10,0.0,50,50,0.10911915456175844,0.6098754246885617,0.11178752779960632,156
10,0.0,100,50,0.10592409513326448,0.6691883729709325,0.14333756268024445,78
10,0.0,250,50,0.0895213478922182,0.7500339750849377,0.3273518979549408,34
10,0.0,500,50,0.0639599121178643,0.8088033220083051,0.13876454532146454,16
10,0.0,1000,50,0.04165490580765344,0.8522914307285768,0.27033767104148865,9
10,0.0,10,100,0.06622904816495556,0.3867421668554171,-0.4164203107357025,81
10,0.0,25,100,0.10908053802755649,0.5534767836919592,-0.08485464751720428,100
10,0.0,50,100,0.11529602300624232,0.6300037750094375,0.056943122297525406,86
10,0.0,100,100,0.11464763451098409,0.667829369573424,0.1346954107284546,70
10,0.0,250,100,0.09447412838841676,0.7547904869762174,0.3512350618839264,27
10,0.0,500,100,0.06388740586106498,0.8057984144960363,0.1670009195804596,14
10,0.0,1000,100,0.04175660681264687,0.853605134012835,0.26605910062789917,8
10,0.0,10,250,0.12212571537312573,0.10305775764439411,-0.5128160715103149,22
10,0.0,25,250,0.07415883020063328,0.4266666666666667,-0.13602259755134583,32
10,0.0,50,250,0.1175357227933851,0.628961872404681,0.020213212817907333,32
10,0.0,100,250,0.10459680656372142,0.6440468101170252,0.13210438191890717,29
10,0.0,250,250,0.09209502077102916,0.7596677991694979,0.3372809886932373,24
10,0.0,500,250,0.0711618701665104,0.8000755001887505,0.19361847639083862,11
10,0.0,1000,250,0.04175660681264687,0.853605134012835,0.26605910062789917,8
10,0.0,10,500,0.1042890439028347,0.09789354473386183,-0.32401883602142334,11
10,0.0,25,500,0.06315335214712281,0.4813892034730087,-0.026824817061424255,17
10,0.0,50,500,0.09532842035003568,0.688471121177803,0.13837751746177673,17
10,0.0,100,500,0.0999241445131648,0.6522612306530766,0.09817010909318924,16
10,0.0,250,500,0.08403839873199283,0.7142770856927142,0.02623276598751545,13
10,0.0,500,500,0.07307710885315064,0.8067346168365421,0.0636296421289444,9
10,0.0,1000,500,0.04205037285648772,0.8532427331068327,0.32813262939453125,7
10,0.0,10,1000,0.08483931309692935,0.0735673839184598,-0.36012107133865356,7
10,0.0,25,1000,0.06027611774787442,0.524333710834277,0.08394920080900192,10
10,0.0,50,1000,0.06426263266320785,0.7421064552661382,0.17301541566848755,9
10,0.0,100,1000,0.06567516523417734,0.6909022272555682,0.06984337419271469,10
10,0.0,250,1000,0.07683544596050122,0.7111513778784447,0.020043104887008667,9
10,0.0,500,1000,0.060760296178383834,0.841932804832012,-0.07506700605154037,6
10,0.0,1000,1000,0.04439342064379798,0.8648848622121555,0.2860080599784851,6
10,0.0,10,2500,0.0,1.0,,0
10,0.0,25,2500,0.0,1.0,,0
10,0.0,50,2500,0.030185370681476836,0.5538995847489618,0.2659195065498352,2
10,0.0,100,2500,0.04833784630024449,0.7899433748584371,0.4104570746421814,3
10,0.0,250,2500,0.03776425970856112,0.7067421668554171,0.3379950225353241,2
10,0.0,500,2500,0.0,1.0,,0
10,0.0,1000,2500,0.0,1.0,,0
10,0.0,10,5000,0.0,1.0,,0
10,0.0,25,5000,0.0,1.0,,0
10,0.0,50,5000,0.030185370681476836,0.5538995847489618,0.2659194767475128,2
10,0.0,100,5000,0.03088221953595349,0.6351679879199698,0.3096649944782257,2
10,0.0,250,5000,0.03776425970856112,0.7067421668554171,0.3379950225353241,2
10,0.0,500,5000,0.0,1.0,,0
10,0.0,1000,5000,0.0,1.0,,0
10,0.0,10,10000,0.0,1.0,,0
10,0.0,25,10000,0.0,1.0,,0
10,0.0,50,10000,0.0,1.0,,0
10,0.0,100,10000,0.0,1.0,,0
10,0.0,250,10000,0.0,1.0,,0
10,0.0,500,10000,0.0,1.0,,0
