n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
10,0.0,10,50,0.07497409468126302,0.4427482068705172,-0.25709739327430725,253
10,0.0,25,50,0.10211700266959518,0.5404303510758777,-0.14233966171741486,203
10,0.0,50,50,0.1221646871119088,0.5942921857304643,-0.026256080716848373,160
10,0.0,100,50,0.12789709237204747,0.6536353340883352,0.06608779728412628,81
10,0.0,250,50,0.09332455144508402,0.748961872404681,0.2928042709827423,29
10,0.0,500,50,0.07109684153781126,0.8114156285390713,0.5047854781150818,19
10,0.0,1000,50,0.03876590516792277,0.8668176670441676,0.727091372013092,10
10,0.0,10,100,0.08064883680756291,0.3705700264250661,-0.41289013624191284,93
10,0.0,25,100,0.11522680214742409,0.555530388825972,-0.13740409910678864,100
10,0.0,50,100,0.12111784596261975,0.6101472253680634,0.022538185119628906,87
10,0.0,100,100,0.12653264983525375,0.6539373348433372,0.06433777511119843,73
10,0.0,250,100,0.09269012595222571,0.7492185730464326,0.3050311803817749,27
10,0.0,500,100,0.06959682478247534,0.8106304265760664,0.4884810149669647,15
10,0.0,1000,100,0.03900761491472825,0.8688410721026802,0.7466220855712891,8
10,0.0,10,250,0.07068144735955734,0.3878746696866742,-0.23670470714569092,42
10,0.0,25,250,0.08130397208310006,0.42763306908267273,-0.18712118268013,35
10,0.0,50,250,0.096061533300657,0.6099962249905625,0.02618299052119255,34
10,0.0,100,250,0.13504530096124667,0.6720422801057002,0.14352324604988098,33
10,0.0,250,250,0.09369937228584825,0.7513174782936958,0.29154783487319946,24
10,0.0,500,250,0.06892673447276076,0.7992751981879954,0.3797292411327362,12
10,0.0,1000,250,0.06345859711401178,0.8159456398640996,0.17868946492671967,6
10,0.0,10,500,0.14217582289719774,0.2681313703284258,-0.3865562379360199,15
10,0.0,25,500,0.07101001632348647,0.5149414873537184,-0.09751494228839874,17
10,0.0,50,500,0.090381646361038,0.6040921102302755,0.049373406916856766,15
10,0.0,100,500,0.1083028476154541,0.7122989807474519,0.327384889125824,17
10,0.0,250,500,0.09388945952475743,0.7590033975084938,0.17892883718013763,13
10,0.0,500,500,0.06546289824349558,0.8031861079652699,0.33662620186805725,10
10,0.0,1000,500,0.06345859711401178,0.8159456398640996,0.17868946492671967,6
